address,city,postcode,latitude,longitude
5202 CAMERON DR NW,ROCHESTER,55901,44.0319008,-92.5401685
463 CARLISLE LN NW,ROCHESTER,55901,44.0318444,-92.5447244
5375 CAMERON DR NW,ROCHESTER,55901,44.0301958,-92.5448326
5525 ST MARY DR NW,ROCHESTER,55901,44.0278307,-92.5497283
1836 3 AVE SE,ROCHESTER,55904,43.9945244,-92.4571142
1824 2 AVE SE,ROCHESTER,55904,43.9952477,-92.4600549
1813 2 AVE SE,ROCHESTER,55904,43.9955403,-92.4605899
5186 MEADOW DR SE,ROCHESTER,55904,43.9989632,-92.375603
1650 CENTURY VALLEY RD NE,ROCHESTER,55906,44.0379277,-92.4184198
3411 COPPER POINT LN NE,ROCHESTER,55906,44.0583012,-92.4308728
355 6 CT SE,DOVER,55929,43.9704809,-92.1311607
463 6 CT SE,DOVER,55929,43.9694554,-92.1316188
524 6 CT SE,DOVER,55929,43.9688997,-92.1313401
572 6 CT SE,DOVER,55929,43.9684935,-92.1315424
4835 MAINE AVE SE,ROCHESTER,55904,43.9520596,-92.463558
2501 2 AVE NW,STEWARTVILLE,55976,43.8770729,-92.4908134
3851 MARKETPLACE DR NW,ROCHESTER,55901,44.0630266,-92.5057845
3930 MARKETPLACE DR NW,ROCHESTER,55901,44.0638184,-92.5008454
3959 18 AVE NW,ROCHESTER,55901,44.0642063,-92.4894148
4015 18 AVE NW,ROCHESTER,55901,44.0645865,-92.489453
4023 18 AVE NW,ROCHESTER,55901,44.0645863,-92.4899183
4025 18 AVE NW,ROCHESTER,55901,44.0645931,-92.4900139
4033 18 AVE NW,ROCHESTER,55901,44.0646538,-92.490455
4043 18 AVE NW,ROCHESTER,55901,44.064981,-92.4902857
4051 18 AVE NW,ROCHESTER,55901,44.0649972,-92.4898874
4061 18 AVE NW,ROCHESTER,55901,44.0649663,-92.4893427
639 COUNTY RD 13   SW,PINE ISLAND,55963,44.1911767,-92.6609832
6986 COLLEGE VIEW RD E,EYOTA,55934,44.020635,-92.3395848
3210 PINEWOOD RD SE,ROCHESTER,55904,43.9830745,-92.4159523
2081 GRANITE CIR NW,ROCHESTER,55901,44.0913014,-92.4962153
2158 GRANITE CIR NW,ROCHESTER,55901,44.0919568,-92.4951731
200 1 ST SW,ROCHESTER,55902,44.0221101,-92.4666117
294 ZUMBRO DR NW,ROCHESTER,55901,44.0529935,-92.4684772
310 16 ST SW,ROCHESTER,55902,43.9997603,-92.4667306
1538 2 AVE SW,ROCHESTER,55902,44.0005977,-92.4656499
3800 STONE POINT DR NE,ROCHESTER,55906,44.0616985,-92.4387005
3801 STONE POINT DR NE,ROCHESTER,55906,44.0614741,-92.4391541
1711 STONE CREST DR NE,ROCHESTER,55906,44.062723,-92.4391441
1704 STONE CREST DR NE,ROCHESTER,55906,44.0626305,-92.4386553
1740 STONE CREST DR NE,ROCHESTER,55906,44.0633449,-92.4385241
1771 STONE CREST DR NE,ROCHESTER,55906,44.0639349,-92.438921
1800 STONE CREST DR NE,ROCHESTER,55906,44.0646023,-92.4383759
4223 DODGE LN NE,ROCHESTER,55906,44.066112,-92.4473926
4020 STONE POINT DR NE,ROCHESTER,55906,44.0654933,-92.4465594
4030 STONE POINT DR NE,ROCHESTER,55906,44.0654575,-92.445874
4047 STONE POINT DR NE,ROCHESTER,55906,44.0659254,-92.4447731
4074 STONE POINT DR NE,ROCHESTER,55906,44.0650851,-92.4434998
4101 STONE POINT DR NE,ROCHESTER,55906,44.06543,-92.4418665
1619 19 AVE SE,ROCHESTER,55904,44.0007492,-92.4392085
1623 19 AVE SE,ROCHESTER,55904,44.0006056,-92.4392082
1615 19 AVE SE,ROCHESTER,55904,44.0009267,-92.4392089
612 50 AVE SE,ROCHESTER,55904,44.0126941,-92.3779778
2140 75 ST NW,ROCHESTER,55901,44.1078756,-92.495579
305 12 ST NW,BYRON,55920,44.0414595,-92.6505376
1013 5 AVE NW,BYRON,55920,44.0401242,-92.6551409
383 WYNNSONG PL NW,BYRON,55920,44.0422685,-92.6519707
372 WYNNSONG PL NW,BYRON,55920,44.0419215,-92.6511696
368 WYNNSONG PL NW,BYRON,55920,44.0422572,-92.6510491
356 WYNNSONG PL NW,BYRON,55920,44.0427256,-92.6503773
2206 GRANITE CIR NW,ROCHESTER,55901,44.0910338,-92.4943605
2242 GRANITE CIR NW,ROCHESTER,55901,44.0907208,-92.4948679
2254 GRANITE CIR NW,ROCHESTER,55901,44.0907019,-92.4950932
2278 GRANITE CIR NW,ROCHESTER,55901,44.0907479,-92.4955503
2326 GRANITE CIR NW,ROCHESTER,55901,44.0908349,-92.4964576
2362 GRANITE CIR NW,ROCHESTER,55901,44.0907439,-92.4971476
3458 HIDDEN CREEK RD NE,ROCHESTER,55906,44.0678949,-92.4096489
3311 HIDDEN CREEK LN NE,ROCHESTER,55906,44.0683705,-92.4134005
3316 HIDDEN CREEK LN NE,ROCHESTER,55906,44.0680155,-92.4132745
3348 HIDDEN CREEK LN NE,ROCHESTER,55906,44.0680051,-92.4122349
3389 HIDDEN CREEK LN NE,ROCHESTER,55906,44.0681506,-92.4109684
10992 65 AVE NW,ORONOCO,55960,44.1584543,-92.5665122
602 SOUTH AVE SE,EYOTA,55934,43.9833569,-92.2287694
717 BROADWAY AVE S,ROCHESTER,55904,44.0153057,-92.4636945
333 4 AVE SW,ROCHESTER,55902,44.0198903,-92.4684158
8047 COUNTY RD 3   NW,ORONOCO,55960,44.1169203,-92.5687556
1887 GEMINI DR SW,ROCHESTER,55902,43.9664594,-92.4896812
1911 GEMINI DR SW,ROCHESTER,55902,43.9664606,-92.4899969
527 WYNNSONG DR NW,BYRON,55920,44.0431208,-92.6557442
"1991 29 PL NW, STE 104",ROCHESTER,55901,44.0550946,-92.4913481
"1991 29 PL NW, STE 208",ROCHESTER,55901,44.0550923,-92.4914009
"1991 29 PL NW, STE 207",ROCHESTER,55901,44.0550925,-92.4914501
"1991 29 PL NW, STE 203",ROCHESTER,55901,44.0549099,-92.4914584
"2633 SUPERIOR DR NW, STE 200",ROCHESTER,55901,44.0508815,-92.5255893
12309 ZUMBRO PINE LN NW,ORONOCO,55960,44.1778444,-92.4713051
5344 FOXFIELD DR NW,ROCHESTER,55901,44.088458,-92.5438079
5550 WEATHERSTONE LN NW,ROCHESTER,55901,44.0879213,-92.549131
5582 WEATHERSTONE LN NW,ROCHESTER,55901,44.0880611,-92.5495549
5598 WEATHERSTONE LN NW,ROCHESTER,55901,44.088251,-92.5496548
5400 WEATHERSTONE DR NW,ROCHESTER,55901,44.0867254,-92.5467516
5434 WEATHERSTONE DR NW,ROCHESTER,55901,44.0872388,-92.5477092
2722 MELROSE ST SE,ROCHESTER,55904,43.9946903,-92.422012
1809 HILLVIEW LN SE,ROCHESTER,55904,43.9945816,-92.4205351
2715 MELROSE ST SE,ROCHESTER,55904,43.9951325,-92.4228791
2712 MULBERRY ST SE,ROCHESTER,55904,43.9958324,-92.4234454
1801 MARVALE AVE SE,ROCHESTER,55904,43.9959827,-92.4249505
1913 14 ST SE,ROCHESTER,55904,44.0032026,-92.4367764
2005 14 ST SE,ROCHESTER,55904,44.0032025,-92.436573
2035 14 ST SE,ROCHESTER,55904,44.0032018,-92.4355279
2109 14 ST SE,ROCHESTER,55904,44.0032011,-92.4344829
2020 14 ST SE,ROCHESTER,55904,44.0027507,-92.4359659
2050 14 ST SE,ROCHESTER,55904,44.0027518,-92.4349208
2009 15 ST SE,ROCHESTER,55904,44.0020077,-92.4360856
2023 15 ST SE,ROCHESTER,55904,44.0020423,-92.4355912
2057 15 ST SE,ROCHESTER,55904,44.0020456,-92.4347018
24 17 AVE NW,ROCHESTER,55901,44.0238744,-92.4868417
36 17 AVE NW,ROCHESTER,55901,44.0242142,-92.4868112
126 17 AVE NW,ROCHESTER,55901,44.0251105,-92.4868406
154 17 AVE NW,ROCHESTER,55901,44.0253858,-92.4867192
1604 1 ST NW,ROCHESTER,55901,44.024286,-92.4863986
1439 1 ST NW,ROCHESTER,55901,44.024591,-92.4852532
1435 1 ST NW,ROCHESTER,55901,44.0245748,-92.4850538
1414 CENTER ST W,ROCHESTER,55902,44.0233339,-92.4846563
1422 1 ST SW,ROCHESTER,55902,44.0224078,-92.4850242
2208 MOCKINGBIRD PL NW,STEWARTVILLE,55976,43.8726512,-92.4977569
2007 NIGHTINGALE AVE NW,STEWARTVILLE,55976,43.8707146,-92.4989274
3274 ECHO RIDGE PL SW,ROCHESTER,55902,43.9741817,-92.4850121
3255 ECHO LN SW,ROCHESTER,55902,43.9744036,-92.4842569
3281 ECHO LN SW,ROCHESTER,55902,43.9737355,-92.4843518
1443 ECHO RIDGE ST SW,ROCHESTER,55902,43.9749932,-92.4837201
1531 ECHO RIDGE ST SW,ROCHESTER,55902,43.9749704,-92.4855306
1598 ECHO RIDGE ST SW,ROCHESTER,55902,43.9741875,-92.486552
1658 ECHO RIDGE ST SW,ROCHESTER,55902,43.9736593,-92.4876617
1718 ECHO RIDGE ST SW,ROCHESTER,55902,43.9745947,-92.4878516
1418 ECHO RIDGE RD SW,ROCHESTER,55902,43.9738714,-92.4827289
1425 ECHO RIDGE RD SW,ROCHESTER,55902,43.9739824,-92.4823595
1457 ECHO RIDGE RD SW,ROCHESTER,55902,43.9745093,-92.4824785
1534 ECHO RIDGE RD SW,ROCHESTER,55902,43.9755115,-92.4831266
1569 ECHO RIDGE RD SW,ROCHESTER,55902,43.9758445,-92.4835747
1602 ECHO RIDGE RD SW,ROCHESTER,55902,43.9755403,-92.4844862
1633 ECHO RIDGE RD SW,ROCHESTER,55902,43.9758094,-92.485246
1640 ECHO RIDGE RD SW,ROCHESTER,55902,43.9755207,-92.4855512
1672 ECHO RIDGE RD SW,ROCHESTER,55902,43.9752628,-92.4862002
"2770 COMMERCE DR NW, STE C",ROCHESTER,55901,44.0538614,-92.5204921
"2766 COMMERCE DR NW, STE D",ROCHESTER,55901,44.0537303,-92.5211592
"2778 COMMERCE DR NW, STE D",ROCHESTER,55901,44.0541503,-92.5211663
302 BUNKER LN SW,ROCHESTER,55902,44.0212613,-92.505436
321 WIMBLEDON HILLS DR SW,ROCHESTER,55902,44.0208465,-92.5067119
309 WIMBLEDON HILLS DR SW,ROCHESTER,55902,44.0208518,-92.5062873
1970 NELSON LN SE,ROCHESTER,55904,43.9933584,-92.4144461
1836 NELSON LN SE,ROCHESTER,55904,43.9951225,-92.4144454
3103 NELSON CT SE,ROCHESTER,55904,43.9939651,-92.417507
2704 MELROSE ST SE,ROCHESTER,55904,43.99473,-92.4245891
2712 MELROSE ST SE,ROCHESTER,55904,43.9947224,-92.4234554
2714 MELROSE ST SE,ROCHESTER,55904,43.9947064,-92.4231867
2028 15 ST SE,ROCHESTER,55904,44.0015596,-92.4355346
2056 15 ST SE,ROCHESTER,55904,44.0015524,-92.4346665
1531 MONTEREY LN SW,ROCHESTER,55902,43.9862717,-92.4843091
2647 SUPERIOR DR NW,ROCHESTER,55901,44.0513357,-92.5255946
6052 SANDSTONE ST NW,ROCHESTER,55901,44.0759646,-92.5598963
6084 SANDSTONE ST NW,ROCHESTER,55901,44.075957,-92.560505
6092 SANDSTONE ST NW,ROCHESTER,55901,44.0759623,-92.5606751
6035 51 ST NW,ROCHESTER,55901,44.0755199,-92.5595194
6058 51 ST NW,ROCHESTER,55901,44.0752525,-92.5599988
6082 51 ST NW,ROCHESTER,55901,44.075268,-92.5604437
6118 51 ST NW,ROCHESTER,55901,44.0752661,-92.5613468
6133 51 ST NW,ROCHESTER,55901,44.0755309,-92.5615416
6165 51 ST NW,ROCHESTER,55901,44.0755228,-92.5619474
6198 51 ST NW,ROCHESTER,55901,44.0752649,-92.5624921
6230 51 ST NW,ROCHESTER,55901,44.0752663,-92.5629306
4465 HERITAGE PL NW,ROCHESTER,55901,44.045247,-92.5295606
2120 ASHLAND DR NW,ROCHESTER,55901,44.0459701,-92.5294107
834 21 AVE SE,ROCHESTER,55904,44.0153996,-92.4309981
3811 25 ST SE,ROCHESTER,55904,43.9857126,-92.4025874
714 23 ST NW,STEWARTVILLE,55976,43.8732084,-92.4985225
710 23 ST NW,STEWARTVILLE,55976,43.8732867,-92.4975501
2016 MOCKINGBIRD PL NW,STEWARTVILLE,55976,43.8713121,-92.4977314
2018 MOCKINGBIRD PL NW,STEWARTVILLE,55976,43.8714293,-92.4977305
2026 MOCKINGBIRD PL NW,STEWARTVILLE,55976,43.8719386,-92.497755
2026 NIGHTINGALE AVE NW,STEWARTVILLE,55976,43.8719147,-92.4986641
2204 NIGHTINGALE AVE NW,STEWARTVILLE,55976,43.8724449,-92.4986254
2207 NIGHTINGALE AVE NW,STEWARTVILLE,55976,43.8726288,-92.4989135
2023 MOCKINGBIRD PL NW,STEWARTVILLE,55976,43.8717292,-92.498031
2205 MOCKINGBIRD PL NW,STEWARTVILLE,55976,43.8724729,-92.4980398
2213 MOCKINGBIRD PL NW,STEWARTVILLE,55976,43.8729522,-92.4980386
2013 MOCKINGBIRD PL NW,STEWARTVILLE,55976,43.8711192,-92.4980394
2210 NIGHTINGALE AVE NW,STEWARTVILLE,55976,43.8728212,-92.4986529
2027 NIGHTINGALE AVE NW,STEWARTVILLE,55976,43.8719142,-92.4988948
2205 NIGHTINGALE AVE NW,STEWARTVILLE,55976,43.8724482,-92.4989471
253 FOREST KNOLL PL SE,ROCHESTER,55904,43.9481949,-92.4618738
"10544 MAIN ST NE, UNIT B",EYOTA,55934,44.0631641,-92.2675368
5484 WEATHERHILL RD SW,ROCHESTER,55902,44.0024822,-92.548366
5556 WEATHERHILL RD SW,ROCHESTER,55902,44.0029315,-92.5491544
1541 SEASONS LN SW,ROCHESTER,55902,44.0008525,-92.5516431
5890 WEATHERHILL RD SW,ROCHESTER,55902,44.0015382,-92.5553015
5650 WEATHERHILL RD SW,ROCHESTER,55902,44.0020178,-92.5508167
1034 WEATHERHILL LN SW,ROCHESTER,55902,44.0058483,-92.5394474
1107 WEATHERHILL LN SW,ROCHESTER,55902,44.0054149,-92.5430207
5150 WEATHERHILL RD SW,ROCHESTER,55902,44.003755,-92.5415791
840 7 ST NW,ROCHESTER,55901,44.0300792,-92.4751124
612 11 AVE NW,ROCHESTER,55901,44.0306429,-92.4786051
701 9 AVE NW,ROCHESTER,55901,44.0313879,-92.4762315
105 CONNER CIR SW,ROCHESTER,55902,44.0219805,-92.5074758
111 CONNER CIR SW,ROCHESTER,55902,44.0215927,-92.5074762
1333 ARTHUR LN NW,ROCHESTER,55901,44.0788205,-92.4836325
2730 CHARLES CT NW,ROCHESTER,55901,44.0456965,-92.503535
2734 CHARLES CT NW,ROCHESTER,55901,44.0458856,-92.5034617
2735 CHARLES CT NW,ROCHESTER,55901,44.0459287,-92.5034173
11719 SANDY POINT LN NE,ROCHESTER,55906,44.1683507,-92.4681676
11749 SANDY POINT LN NE,ROCHESTER,55906,44.1689174,-92.4677516
2825 CHARLES CT NW,ROCHESTER,55901,44.0467673,-92.5044722
2820 CHARLES CT NW,ROCHESTER,55901,44.0464272,-92.5046085
2816 CHARLES CT NW,ROCHESTER,55901,44.046245,-92.5047045
2815 CHARLES CT NW,ROCHESTER,55901,44.0461894,-92.5047223
2811 CHARLES CT NW,ROCHESTER,55901,44.0459452,-92.5044009
2802 CHARLES CT NW,ROCHESTER,55901,44.0460898,-92.5038026
2905 CHARLES CT NW,ROCHESTER,55901,44.0469246,-92.505101
2910 CHARLES CT NW,ROCHESTER,55901,44.0472253,-92.5052592
2914 CHARLES CT NW,ROCHESTER,55901,44.0476027,-92.5050719
2919 CHARLES CT NW,ROCHESTER,55901,44.0478449,-92.5047138
2923 CHARLES CT NW,ROCHESTER,55901,44.0477714,-92.5044776
2924 CHARLES CT NW,ROCHESTER,55901,44.0477581,-92.5044193
2928 CHARLES CT NW,ROCHESTER,55901,44.0475894,-92.5040235
2933 CHARLES CT NW,ROCHESTER,55901,44.0472899,-92.5042255
1711 WALDEN LN SW,ROCHESTER,55902,44.0133122,-92.4866767
790 RIVER PARK RD SE,ORONOCO,55960,44.1555675,-92.523241
788 RIVER PARK LN SE,ORONOCO,55960,44.155865,-92.5211362
790 RIVER PARK LN SE,ORONOCO,55960,44.1555595,-92.5209061
380 6 ST SE,ORONOCO,55960,44.1573235,-92.5279267
595 RIVER PARK PL SE,ORONOCO,55960,44.1601352,-92.5250816
695 RIVER PARK PL SE,ORONOCO,55960,44.159912,-92.5230483
725 RIVER PARK PL SE,ORONOCO,55960,44.1589805,-92.5218919
747 RIVER PARK PL SE,ORONOCO,55960,44.1581473,-92.5215989
708 TIMBERLINE DR SE,ORONOCO,55960,44.1566943,-92.5279035
720 TIMBERLINE DR SE,ORONOCO,55960,44.156276,-92.5263086
725 TIMBERLINE DR SE,ORONOCO,55960,44.1561007,-92.5267877
750 TIMBERLINE DR SE,ORONOCO,55960,44.1556325,-92.5249747
921 37 AVE NW,ROCHESTER,55901,44.0363068,-92.5214692
4622 ALAN LN NW,ROCHESTER,55901,44.0703371,-92.5571617
4669 ALAN LN NW,ROCHESTER,55901,44.0708333,-92.5575239
4702 ALAN LN NW,ROCHESTER,55901,44.0712323,-92.5571343
4717 ALAN LN NW,ROCHESTER,55901,44.0713441,-92.5574989
4749 ALAN LN NW,ROCHESTER,55901,44.0716606,-92.5577019
3355 WESTON CT SW,ROCHESTER,55902,43.973111,-92.4968812
3396 WESTON CT SW,ROCHESTER,55902,43.9726503,-92.496608
2137 FIELDSTONE RD SW,ROCHESTER,55902,43.9738675,-92.4930729
2181 FIELDSTONE RD SW,ROCHESTER,55902,43.9739642,-92.4937093
2331 FIELDSTONE RD SW,ROCHESTER,55902,43.9736702,-92.4959978
2214 WESTON PL SW,ROCHESTER,55902,43.9725025,-92.4942557
2225 WESTON PL SW,ROCHESTER,55902,43.9727995,-92.4944127
2257 WESTON PL SW,ROCHESTER,55902,43.9727353,-92.4950581
3249 CASSIE LN SW,ROCHESTER,55902,43.9743916,-92.4947951
20 1 ST SW,ROCHESTER,55902,44.0224349,-92.4640563
451 C AVE NE,CHATFIELD,55923,43.85363,-92.1852314
507 C AVE NE,CHATFIELD,55923,43.854084,-92.1852375
509 C AVE NE,CHATFIELD,55923,43.8541649,-92.1852471
2534 OVERLAND POINT CIR NW,ROCHESTER,55901,44.0927954,-92.4996073
2581 OVERLAND POINT CIR NW,ROCHESTER,55901,44.0934767,-92.5002772
6532 CLARKIA DR NW,ROCHESTER,55901,44.0951549,-92.5055015
2441 ROSEWOOD LN SW,ROCHESTER,55902,43.9486831,-92.4971942
4597 55 ST NW,ROCHESTER,55901,44.0796457,-92.5326241
5175 RIDGEWAY RD NW,ROCHESTER,55901,44.093387,-92.5420354
5223 RIDGEWAY RD NW,ROCHESTER,55901,44.0933867,-92.5429457
5270 RIDGEWAY RD NW,ROCHESTER,55901,44.0931239,-92.5438258
5204 RIDGEVIEW DR NW,ROCHESTER,55901,44.0921845,-92.5424026
5237 RIDGEVIEW DR NW,ROCHESTER,55901,44.092515,-92.5431742
5284 RIDGEVIEW DR NW,ROCHESTER,55901,44.0922421,-92.5440088
679 COUNTY RD 10   NE,CHATFIELD,55923,43.855499,-92.1837124
1051 40 ST SW,ROCHESTER,55902,43.9641785,-92.4781827
3050 OAKVIEW DR NE,ROCHESTER,55906,44.0395756,-92.4176761
5455 EISENHOWER LN SE,ROCHESTER,55904,43.9755086,-92.3711517
506 PEONY ST SE,ROCHESTER,55904,43.9588759,-92.4553369
209 LUELLA PL NE,STEWARTVILLE,55976,43.8725565,-92.4846358
5143 RIDGEWAY RD NW,ROCHESTER,55901,44.0933865,-92.5414513
1419 CENTURY KNOLL LN NE,ROCHESTER,55906,44.035777,-92.4204825
1470 CENTURY KNOLL LN NE,ROCHESTER,55906,44.036465,-92.4200602
1509 CENTURY KNOLL LN NE,ROCHESTER,55906,44.037047,-92.4203772
1527 CENTURY KNOLL LN NE,ROCHESTER,55906,44.0371209,-92.4200926
2900 STONE PARK DR NE,ROCHESTER,55906,44.0379351,-92.4219795
2917 STONE PARK DR NE,ROCHESTER,55906,44.0371897,-92.4217774
2930 STONE PARK DR NE,ROCHESTER,55906,44.0367069,-92.4222737
2943 STONE PARK DR NE,ROCHESTER,55906,44.036178,-92.4215964
2955 STONE PARK DR NE,ROCHESTER,55906,44.0356516,-92.4214872
2960 STONE PARK DR NE,ROCHESTER,55906,44.0354421,-92.4220097
2978 STONE PARK DR NE,ROCHESTER,55906,44.0349062,-92.4212851
4900 55 AVE NW,ROCHESTER,55901,44.0734136,-92.5479436
4969 55 AVE NW,ROCHESTER,55901,44.0739571,-92.548404
5065 55 AVE NW,ROCHESTER,55901,44.0747629,-92.5484763
1738 KERRY DR NE,ROCHESTER,55906,44.0399422,-92.4094604
5772 EXCALIBUR CT NW,ROCHESTER,55901,44.0764629,-92.5565451
5784 EXCALIBUR CT NW,ROCHESTER,55901,44.0764471,-92.5560163
5785 EXCALIBUR CT NW,ROCHESTER,55901,44.0761005,-92.556031
5797 EXCALIBUR CT NW,ROCHESTER,55901,44.0760701,-92.555419
5815 EXCALIBUR CT NW,ROCHESTER,55901,44.0760784,-92.5547282
5833 EXCALIBUR CT NW,ROCHESTER,55901,44.0764721,-92.5541964
5788 51 ST NW,ROCHESTER,55901,44.0752088,-92.5541968
5816 51 ST NW,ROCHESTER,55901,44.0752103,-92.554684
5819 51 ST NW,ROCHESTER,55901,44.0755301,-92.5547039
5847 51 ST NW,ROCHESTER,55901,44.0755264,-92.5551911
5914 51 ST NW,ROCHESTER,55901,44.0752057,-92.5565309
5831 LLOYD ST NW,ROCHESTER,55901,44.0747184,-92.554956
5860 LLOYD ST NW,ROCHESTER,55901,44.0744211,-92.5554159
5888 LLOYD ST NW,ROCHESTER,55901,44.0744279,-92.5558957
5929 LLOYD ST NW,ROCHESTER,55901,44.0747085,-92.5567884
5877 CROWN LN NW,ROCHESTER,55901,44.0739312,-92.5555757
5906 CROWN LN NW,ROCHESTER,55901,44.0735168,-92.5562285
5903 KINGSBURY DR NW,ROCHESTER,55901,44.0728259,-92.5565453
4911 CASTLEVIEW DR NW,ROCHESTER,55901,44.0733742,-92.5575672
4983 CASTLEVIEW DR NW,ROCHESTER,55901,44.0741187,-92.5575845
4988 CASTLEVIEW DR NW,ROCHESTER,55901,44.0742114,-92.5570822
5055 CASTLEVIEW DR NW,ROCHESTER,55901,44.0748418,-92.557522
5243 CASTLEVIEW DR NW,ROCHESTER,55901,44.0766976,-92.5575616
1823 DANIEL LN NE,STEWARTVILLE,55976,43.8681096,-92.483287
6752 LARKSPUR PKWY NW,ROCHESTER,55901,44.0989983,-92.5069395
6764 LARKSPUR PKWY NW,ROCHESTER,55901,44.0992213,-92.5067277
6878 LARKSPUR PKWY NW,ROCHESTER,55901,44.1003538,-92.5066698
4869 BISHOP LN NW,ROCHESTER,55901,44.0731844,-92.5521916
4917 BISHOP LN NW,ROCHESTER,55901,44.0735527,-92.5521726
4973 BISHOP LN NW,ROCHESTER,55901,44.0739804,-92.5518685
4912 SPIRE LN NW,ROCHESTER,55901,44.0732332,-92.5504327
4960 SPIRE LN NW,ROCHESTER,55901,44.0735283,-92.5502047
5557 KING ARTHUR RD NW,ROCHESTER,55901,44.0727538,-92.5496903
5581 KING ARTHUR RD NW,ROCHESTER,55901,44.0727493,-92.5501677
5590 KING ARTHUR RD NW,ROCHESTER,55901,44.0724181,-92.5504209
5638 KING ARTHUR RD NW,ROCHESTER,55901,44.0724153,-92.551451
5698 KING ARTHUR RD NW,ROCHESTER,55901,44.0724375,-92.5527238
851 HOMESTEAD VILLAGE LN SE,ROCHESTER,55904,44.0141413,-92.4442627
886 HOMESTEAD VILLAGE LN SE,ROCHESTER,55904,44.0133534,-92.4429121
910 HOMESTEAD VILLAGE LN SE,ROCHESTER,55904,44.0127204,-92.44265
911 HOMESTEAD VILLAGE LN SE,ROCHESTER,55904,44.0125138,-92.4435702
935 HOMESTEAD VILLAGE LN SE,ROCHESTER,55904,44.0118897,-92.4433182
2706 CHARLES CT NW,ROCHESTER,55901,44.045543,-92.5026499
2711 CHARLES CT NW,ROCHESTER,55901,44.0453144,-92.5027666
2716 CHARLES CT NW,ROCHESTER,55901,44.0450026,-92.502894
2720 CHARLES CT NW,ROCHESTER,55901,44.0450608,-92.5033302
2725 CHARLES CT NW,ROCHESTER,55901,44.0453765,-92.5036872
6771 GAILLARDIA DR NW,ROCHESTER,55901,44.0984204,-92.5047207
6774 GAILLARDIA DR NW,ROCHESTER,55901,44.0983534,-92.5041605
6782 GAILLARDIA DR NW,ROCHESTER,55901,44.0988656,-92.5041269
6791 GAILLARDIA DR NW,ROCHESTER,55901,44.0993436,-92.5046242
6921 GAILLARDIA DR NW,ROCHESTER,55901,44.1006206,-92.5046054
6559 CLARKIA DR NW,ROCHESTER,55901,44.0954976,-92.5065732
6583 CLARKIA DR NW,ROCHESTER,55901,44.0959453,-92.5066502
6592 CLARKIA DR NW,ROCHESTER,55901,44.0961455,-92.5061582
6616 CLARKIA DR NW,ROCHESTER,55901,44.0965639,-92.5061253
6667 CLARKIA DR NW,ROCHESTER,55901,44.0974511,-92.5060491
6739 CLARKIA DR NW,ROCHESTER,55901,44.0986698,-92.5058704
6772 CLARKIA DR NW,ROCHESTER,55901,44.0991588,-92.5054065
6805 CLARKIA DR NW,ROCHESTER,55901,44.0998676,-92.5058822
6882 CLARKIA DR NW,ROCHESTER,55901,44.1004286,-92.5053877
1229 EASTGATE DR SE,ROCHESTER,55904,44.0082615,-92.4407028
2910 20 ST SE,ROCHESTER,55904,43.9917353,-92.4191752
255 MAIN ST N,CHATFIELD,55923,43.8498574,-92.1935217
1765 RESTORATION RD SW,ROCHESTER,55902,43.9970415,-92.4762376
1862 RESTORATION RD SW,ROCHESTER,55902,43.9953366,-92.4754095
